County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total
Alameda,4,72,2239,3383,744,36,6478
Alpine,0,0,12,0,0,0,12
Amador,0,0,53,10,9,0,72
Butte,0,0,139,83,36,1,259
Calaveras,0,2,15,3,21,0,41
Colusa,0,0,26,10,17,0,53
Contra Costa,0,2,1060,895,417,10,2384
Del Norte,0,0,21,32,30,0,83
El Dorado,1,0,221,14,90,0,326
Fresno,23,1,792,687,350,26,1879
Glenn,0,0,5,3,25,0,33
Humboldt,0,0,182,43,50,0,275
Imperial,0,0,29,14,64,1,108
Inyo,0,0,14,17,78,1,110
Kern,1,1,428,320,524,8,1282
Kings,0,0,106,69,122,1,298
Lake,0,0,27,10,13,0,50
Lassen,0,1,8,2,8,0,19
Los Angeles,41,121,14815,42894,2633,194,60698
Madera,0,1,100,118,90,8,317
Marin,1,0,615,562,110,2,1290
Mariposa,0,0,101,12,32,0,145
Mendocino,0,0,211,55,63,0,329
Merced,10,2,133,37,140,0,322
Modoc,0,0,4,0,8,0,12
Mono,0,0,22,25,34,0,81
Monterey,0,0,412,131,221,5,769
Napa,0,0,523,194,58,0,775
Nevada,0,0,63,64,57,0,184
Orange,20,0,4318,3002,1149,33,8522
Placer,0,1,355,435,270,11,1072
Plumas,0,0,8,4,4,0,16
Riverside,0,1,1644,810,736,15,3206
Sacramento,65,18,1831,1518,537,15,3984
San Benito,0,0,20,14,29,2,65
San Bernardino,1,11,1320,803,744,32,2911
San Diego,0,17,4422,5575,907,61,10982
San Francisco,9,6,1279,1319,203,37,2853
San Joaquin,0,0,490,438,222,23,1173
San Luis Obispo,0,1,586,310,162,4,1063
San Mateo,34,103,2919,3431,461,46,6994
Santa Barbara,0,2,632,239,204,28,1105
Santa Clara,2,75,6088,16145,971,84,23365
Santa Cruz,0,0,258,181,102,1,542
Shasta,0,0,138,149,102,3,392
Sierra,0,0,3,0,0,0,3
Siskiyou,0,1,25,8,80,0,114
Solano,5,0,473,240,247,5,970
Sonoma,0,0,797,383,178,18,1376
Stanislaus,0,1,184,93,95,6,379
Sutter,0,0,16,12,16,3,47
Tehama,0,0,45,78,33,0,156
Trinity,0,0,7,2,10,0,19
Tulare,0,3,190,179,91,25,488
Tuolumne,0,0,60,16,24,0,100
Ventura,4,0,652,621,239,15,1531
Yolo,14,0,348,372,71,5,810
Yuba,0,0,45,55,12,0,112
Total,235,443,51529,86119,13943,765,153034
