COUNTY,Data Year,Total LDV Sales,ZEV Sales,Area Median Income,Population,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total Chargers,Single Detached,Single Attached,Two to Four,Five Plus
Alameda,2021,54995,12693,"$125,600 ","1,644,047",14,66,1633,1554,315,43,3625,"325,087","50,666","66,601","175,999"
Alameda,2022,54186,17710,"$142,800 ","1,628,259",0,70,1465,2334,375,38,4282,"325,802","50,966","66,972","181,891"
Alameda,2023,63647,25290,"$147,900 ","1,622,188",4,72,1625,2488,398,37,4624,"326,682","51,666","67,057","188,793"
Alameda,2024,45639,17303,"$155,700 ","1,644,569",4,72,2239,3383,744,36,6478,"327,312","52,061","67,191","193,335"
Alpine,2021,68,9,"$94,900 ","1,229",0,0,14,1,0,0,15,924,17,38,543
Alpine,2022,42,7,"$94,900 ","1,190",0,0,16,0,0,0,16,922,17,38,543
Alpine,2023,30,7,"$114,600 ","1,141",0,0,10,0,0,0,10,928,17,38,543
Alpine,2024,36,6,"$119,300 ","1,163",0,0,12,0,0,0,12,928,17,38,543
Amador,2021,1001,60,"$78,700 ","41,228",0,0,25,7,8,0,40,"15,505",602,605,729
Amador,2022,913,86,"$86,600 ","41,493",0,0,25,0,8,0,33,"15,651",602,607,729
Amador,2023,1000,111,"$101,200 ","41,811",0,0,26,0,8,0,34,"15,735",602,605,729
Amador,2024,708,101,"$101,900 ","39,893",0,0,53,10,9,0,72,"15,814",603,623,729
Butte,2021,5017,317,"$70,700 ","206,336",6,0,41,22,21,2,92,"55,734","3,048","8,785","12,004"
Butte,2022,4628,407,"$85,000 ","207,369",6,0,59,46,27,1,139,"56,473","3,049","8,839","12,401"
Butte,2023,4859,580,"$91,600 ","207,172",6,0,63,55,25,0,149,"57,312","3,055","8,972","12,890"
Butte,2024,3434,384,"$96,600 ","206,194",0,0,139,83,36,1,259,"57,923","3,079","9,020","13,591"
Calaveras,2021,1380,83,"$81,700 ","46,249",0,2,7,0,12,0,21,"24,021",367,639,378
Calaveras,2022,1317,128,"$90,000 ","46,556",0,2,9,0,12,0,23,"24,102",367,639,378
Calaveras,2023,1350,163,"$96,200 ","46,565",0,2,9,0,12,0,23,"24,208",368,639,378
Calaveras,2024,951,149,"$96,200 ","44,436",0,2,15,3,21,0,41,"24,288",370,639,378
Colusa,2021,668,16,"$70,700 ","21,919",0,0,18,2,14,0,34,"6,006",120,731,518
Colusa,2022,582,28,"$80,300 ","21,909",0,0,16,0,18,0,34,"6,076",120,731,518
Colusa,2023,545,28,"$83,800 ","22,037",0,0,16,2,18,0,36,"6,122",120,731,518
Colusa,2024,446,25,"$87,900 ","22,016",0,0,26,10,17,0,53,"6,148",120,735,518
Contra Costa,2021,43963,7998,"$125,600 ","1,163,941",7,2,599,660,208,7,1483,"283,558","33,406","28,590","72,595"
Contra Costa,2022,40842,11137,"$142,800 ","1,157,019",0,2,630,608,251,4,1495,"285,067","33,480","28,747","73,410"
Contra Costa,2023,46687,15162,"$147,900 ","1,155,025",0,2,689,758,279,6,1734,"286,708","33,693","28,764","74,471"
