Data Year,Quarter,COUNTY,Total LDV Sales,ZEV Sales,ZEV Sales Share
2021,Q1,Alameda,14296,2814,0.196838276440962
2021,Q1,Alpine,13,3,0.23076923076923
2021,Q1,Amador,262,8,0.0305343511450381
2021,Q1,Butte,1317,66,0.0501138952164009
2021,Q1,Calaveras,358,21,0.0586592178770949
2021,Q1,Colusa,182,4,0.0219780219780219
2021,Q1,Contra Costa,11319,1670,0.147539535294637
2021,Q1,Del Norte,125,2,0.016
2021,Q1,El Dorado,1683,170,0.101010101010101
2021,Q1,Fresno,7371,394,0.0534527201193867
2021,Q1,Glenn,195,7,0.0358974358974358
2021,Q1,Humboldt,727,50,0.0687757909215956
2021,Q1,Imperial,2228,22,0.00987432675044883
2021,Q1,Inyo,132,6,0.0454545454545454
2021,Q1,Kern,6925,273,0.0394223826714801
2021,Q1,Kings,1149,35,0.0304612706701479
2021,Q1,Lake,323,11,0.0340557275541795
2021,Q1,Lassen,140,1,0.00714285714285714
2021,Q1,Los Angeles,131500,12028,0.091467680608365
2021,Q1,Madera,988,43,0.0435222672064777
2021,Q1,Marin,3096,734,0.237080103359173
2021,Q1,Mariposa,102,6,0.0588235294117647
2021,Q1,Mendocino,534,32,0.0599250936329588
2021,Q1,Merced,1647,68,0.0412871888281724
2021,Q1,Modoc,24,0,0.0
2021,Q1,Mono,94,6,0.0638297872340425
2021,Q1,Monterey,2898,222,0.0766045548654244
2021,Q1,Napa,1225,195,0.159183673469387
2021,Q1,Nevada,718,75,0.104456824512534
2021,Q1,Orange,43125,5881,0.136371014492753
2021,Q1,Out Of State,34901,102,0.00292255236239649
2021,Q1,Placer,4365,472,0.108132875143184
2021,Q1,Plumas,120,0,0.0
2021,Q1,Riverside,26420,1760,0.0666161998485995
2021,Q1,Sacramento,11821,1189,0.100583706962185
2021,Q1,San Benito,521,38,0.072936660268714
2021,Q1,San Bernardino,22064,1344,0.0609137055837563
2021,Q1,San Diego,35288,3886,0.110122421219678
2021,Q1,San Francisco,6952,1459,0.209867663981588
2021,Q1,San Joaquin,6459,455,0.0704443412292924
2021,Q1,San Luis Obispo,2086,264,0.126558005752636
2021,Q1,San Mateo,10734,1566,0.145891559530463
2021,Q1,Santa Barbara,3435,393,0.114410480349344
2021,Q1,Santa Clara,17513,3930,0.224404727916404
2021,Q1,Santa Cruz,2026,305,0.150542941757156
2021,Q1,Shasta,1256,70,0.0557324840764331
2021,Q1,Sierra,16,0,0.0
2021,Q1,Siskiyou,276,3,0.0108695652173913
2021,Q1,Solano,3745,387,0.103337783711615
2021,Q1,Sonoma,4118,545,0.13234579893152
2021,Q1,Stanislaus,3913,182,0.0465116279069767
2021,Q1,Sutter,863,40,0.0463499420625724
2021,Q1,Tehama,353,11,0.0311614730878186
2021,Q1,Trinity,68,1,0.0147058823529411
2021,Q1,Tulare,3240,112,0.0345679012345679
2021,Q1,Tuolumne,345,12,0.0347826086956521
2021,Q1,Ventura,9082,964,0.106144021140717
2021,Q1,Yolo,1570,168,0.107006369426751
2021,Q1,Yuba,480,16,0.0333333333333333
2021,Q2,Alameda,15465,3241,0.209569996766892
2021,Q2,Alpine,9,2,0.222222222222222
2021,Q2,Amador,279,13,0.046594982078853
2021,Q2,Butte,1438,88,0.0611961057023643
2021,Q2,Calaveras,344,16,0.0465116279069767
2021,Q2,Colusa,200,2,0.01
2021,Q2,Contra Costa,12276,2073,0.168866080156402
2021,Q2,Del Norte,127,2,0.0157480314960629
2021,Q2,El Dorado,1757,197,0.112122936824132
2021,Q2,Fresno,8801,583,0.0662424724463129
2021,Q2,Glenn,248,3,0.0120967741935483
2021,Q2,Humboldt,849,64,0.0753828032979976
2021,Q2,Imperial,2619,57,0.0217640320733104
2021,Q2,Inyo,180,11,0.0611111111111111
2021,Q2,Kern,8813,426,0.0483376829683422
2021,Q2,Kings,1316,49,0.0372340425531914
2021,Q2,Lake,398,28,0.0703517587939698
2021,Q2,Lassen,154,1,0.00649350649350649
2021,Q2,Los Angeles,150159,15608,0.103943153590527
2021,Q2,Madera,1176,66,0.0561224489795918
2021,Q2,Marin,3066,761,0.248206131767775
2021,Q2,Mariposa,113,6,0.0530973451327433
2021,Q2,Mendocino,601,54,0.0898502495840266
2021,Q2,Merced,2060,114,0.0553398058252427
2021,Q2,Modoc,51,0,0.0
2021,Q2,Mono,128,9,0.0703125
2021,Q2,Monterey,3572,337,0.0943449048152295
2021,Q2,Napa,1341,198,0.147651006711409
2021,Q2,Nevada,707,89,0.125884016973125
2021,Q2,Orange,48339,7269,0.150375473220381
2021,Q2,Out Of State,23184,404,0.0174258109040717
2021,Q2,Placer,4786,566,0.118261596322607
2021,Q2,Plumas,108,5,0.0462962962962962
2021,Q2,Riverside,31876,2527,0.0792759442841009
2021,Q2,Sacramento,13567,1458,0.107466647011129
2021,Q2,San Benito,686,64,0.0932944606413994
2021,Q2,San Bernardino,27052,1959,0.0724160875351175
2021,Q2,San Diego,41149,4504,0.109455879851272
2021,Q2,San Francisco,7367,1576,0.213926971630242
2021,Q2,San Joaquin,7490,706,0.0942590120160213
2021,Q2,San Luis Obispo,2463,353,0.143321153065367
2021,Q2,San Mateo,13161,1714,0.130233264949471
2021,Q2,Santa Barbara,4002,452,0.112943528235882
2021,Q2,Santa Clara,20421,4974,0.243572792713383
2021,Q2,Santa Cruz,2172,347,0.1597605893186
2021,Q2,Shasta,1477,99,0.0670277589708869
2021,Q2,Sierra,21,0,0.0
2021,Q2,Siskiyou,296,10,0.0337837837837837
2021,Q2,Solano,4458,464,0.104082548227904
2021,Q2,Sonoma,4543,647,0.142416905128769
2021,Q2,Stanislaus,4790,266,0.0555323590814196
2021,Q2,Sutter,907,47,0.051819184123484
2021,Q2,Tehama,477,22,0.0461215932914046
2021,Q2,Trinity,53,0,0.0
2021,Q2,Tulare,4125,146,0.0353939393939393
2021,Q2,Tuolumne,390,24,0.0615384615384615
2021,Q2,Ventura,10749,1191,0.110801004744627
2021,Q2,Yolo,1721,241,0.140034863451481
2021,Q2,Yuba,657,35,0.0532724505327245
2021,Q3,Alameda,13725,3288,0.239562841530054
2021,Q3,Alpine,37,4,0.108108108108108
2021,Q3,Amador,247,17,0.068825910931174
2021,Q3,Butte,1262,93,0.0736925515055467
2021,Q3,Calaveras,372,26,0.0698924731182795
2021,Q3,Colusa,142,2,0.0140845070422535
2021,Q3,Contra Costa,10967,2105,0.191939454727819
2021,Q3,Del Norte,91,2,0.0219780219780219
2021,Q3,El Dorado,1647,202,0.122647237401335
2021,Q3,Fresno,7496,557,0.0743062966915688
2021,Q3,Glenn,196,5,0.0255102040816326
2021,Q3,Humboldt,664,55,0.0828313253012048
2021,Q3,Imperial,2335,66,0.0282655246252676
2021,Q3,Inyo,139,7,0.0503597122302158
2021,Q3,Kern,7603,405,0.0532684466657898
2021,Q3,Kings,1154,48,0.0415944540727903
2021,Q3,Lake,281,18,0.0640569395017793
2021,Q3,Lassen,134,1,0.00746268656716417
2021,Q3,Los Angeles,115717,15049,0.130050035863356
2021,Q3,Madera,977,53,0.0542476970317297
2021,Q3,Marin,2873,789,0.274625826662025
2021,Q3,Mariposa,104,9,0.0865384615384615
2021,Q3,Mendocino,507,42,0.0828402366863905
2021,Q3,Merced,1749,106,0.0606060606060606
2021,Q3,Modoc,39,0,0.0
2021,Q3,Mono,104,3,0.0288461538461538
2021,Q3,Monterey,3048,328,0.10761154855643
2021,Q3,Napa,1212,201,0.165841584158415
2021,Q3,Nevada,661,82,0.124054462934947
2021,Q3,Orange,40522,7030,0.173486007600809
2021,Q3,Out Of State,18586,937,0.0504142903260518
2021,Q3,Placer,4149,660,0.159074475777295
2021,Q3,Plumas,103,7,0.0679611650485436
2021,Q3,Riverside,27074,2767,0.102201374011967
