_id,Taxable Year,Zip Code,State,City,County,Returns,California AGI,Total Tax Liability
1,2022,90001,CA,Los Angeles,Los Angeles,"21,227","819,313,914","10,982,738"
2,2022,90002,CA,Los Angeles,Los Angeles,"19,885","754,938,851","9,479,459"
3,2022,90003,CA,Los Angeles,Los Angeles,"26,790","966,234,556","11,551,817"
4,2022,90004,CA,Los Angeles,Los Angeles,"26,959","2,569,284,386","129,988,928"
5,2022,90005,CA,Los Angeles,Los Angeles,"17,008","1,231,237,872","54,545,605"
6,2022,90006,CA,Los Angeles,Los Angeles,"22,481","953,204,331","22,293,682"
7,2022,90007,CA,Los Angeles,Los Angeles,"12,749","564,519,514","12,062,539"
8,2022,90008,CA,Los Angeles,Los Angeles,"13,142","979,242,870","40,124,493"
9,2022,90009,CA,Los Angeles,Los Angeles,636,"53,012,986","2,339,124"
10,2022,90010,CA,Los Angeles,Los Angeles,"3,115","971,363,095","39,224,332"
11,2022,90011,CA,Los Angeles,Los Angeles,"37,497","1,379,992,095","16,877,596"
12,2022,90012,CA,Los Angeles,Los Angeles,"11,938","901,895,297","43,999,411"
13,2022,90013,CA,Los Angeles,Los Angeles,"4,782","1,124,046,774","34,181,289"
14,2022,90014,CA,Los Angeles,Los Angeles,"3,155","294,856,562","16,646,328"
15,2022,90015,CA,Los Angeles,Los Angeles,"10,372","925,237,291","45,610,736"
16,2022,90016,CA,Los Angeles,Los Angeles,"21,462","1,427,376,633","53,384,346"
17,2022,90017,CA,Los Angeles,Los Angeles,"10,626","789,638,120","33,703,027"
18,2022,90018,CA,Los Angeles,Los Angeles,"20,310","1,115,737,443","34,948,336"
19,2022,90019,CA,Los Angeles,Los Angeles,"27,389","2,134,395,075","92,770,941"
20,2022,90020,CA,Los Angeles,Los Angeles,"17,942","1,473,396,267","77,850,056"
21,2022,90021,CA,Los Angeles,Los Angeles,"1,369","271,661,105","15,116,587"
22,2022,90022,CA,Los Angeles,Los Angeles,"26,150","1,225,486,544","23,945,478"
23,2022,90023,CA,Los Angeles,Los Angeles,"17,123","709,766,077","10,781,954"
24,2022,90024,CA,Los Angeles,Los Angeles,"15,447","6,492,775,476","449,725,188"
25,2022,90025,CA,Los Angeles,Los Angeles,"25,799","6,124,085,094","378,841,263"
26,2022,90026,CA,Los Angeles,Los Angeles,"29,720","2,388,126,108","111,156,509"
27,2022,90027,CA,Los Angeles,Los Angeles,"22,373","2,763,167,114","149,623,193"
28,2022,90028,CA,Los Angeles,Los Angeles,"15,756","1,029,109,216","47,357,032"
29,2022,90029,CA,Los Angeles,Los Angeles,"15,802","847,558,456","29,580,253"
30,2022,90030,CA,Los Angeles,Los Angeles,53,"2,361,318","41,396"
31,2022,90031,CA,Los Angeles,Los Angeles,"15,522","851,966,335","24,144,823"
32,2022,90032,CA,Los Angeles,Los Angeles,"18,589","1,107,014,947","33,528,399"
33,2022,90033,CA,Los Angeles,Los Angeles,"16,916","707,402,096","13,574,417"
34,2022,90034,CA,Los Angeles,Los Angeles,"29,307","3,084,222,228","156,368,699"
35,2022,90035,CA,Los Angeles,Los Angeles,"13,170","2,036,184,071","111,792,264"
36,2022,90036,CA,Los Angeles,Los Angeles,"19,149","2,707,265,141","156,969,563"
37,2022,90037,CA,Los Angeles,Los Angeles,"23,211","870,589,501","12,852,942"
38,2022,90038,CA,Los Angeles,Los Angeles,"13,192","870,983,387","38,316,069"
39,2022,90039,CA,Los Angeles,Los Angeles,"14,301","1,706,555,621","90,915,150"
40,2022,90040,CA,Los Angeles,Los Angeles,"5,489","414,164,214","11,588,134"
41,2022,90041,CA,Los Angeles,Los Angeles,"12,203","1,249,983,457","55,762,920"
42,2022,90042,CA,Los Angeles,Los Angeles,"25,978","2,028,344,146","83,640,089"
43,2022,90043,CA,Los Angeles,Los Angeles,"19,235","1,327,274,471","50,175,586"
44,2022,90044,CA,Los Angeles,Los Angeles,"34,909","1,350,211,585","20,308,992"
45,2022,90045,CA,Los Angeles,Los Angeles,"17,729","2,767,627,966","155,186,266"
46,2022,90046,CA,Los Angeles,Los Angeles,"25,827","3,551,065,625","215,882,997"
47,2022,90047,CA,Los Angeles,Los Angeles,"21,941","1,124,795,657","28,387,782"
48,2022,90048,CA,Los Angeles,Los Angeles,"11,766","2,137,055,677","136,240,929"
49,2022,90049,CA,Los Angeles,Los Angeles,"17,853","8,352,194,015","573,858,446"
50,2022,90050,CA,Los Angeles,Los Angeles,125,"8,570,912","303,965"
51,2022,90051,CA,Los Angeles,Los Angeles,101,"7,501,289","238,015"
52,2022,90053,CA,Los Angeles,Los Angeles,55,"7,823,080","425,217"
53,2022,90054,CA,Los Angeles,Los Angeles,57,"8,038,049","284,056"
54,2022,90055,CA,Los Angeles,Los Angeles,21,"18,801,965","232,680"
55,2022,90056,CA,Los Angeles,Los Angeles,"4,114","561,731,540","30,708,494"
56,2022,90057,CA,Los Angeles,Los Angeles,"15,348","612,741,402","13,036,764"
57,2022,90058,CA,Los Angeles,Los Angeles,"1,309","308,108,657","12,724,027"
58,2022,90059,CA,Los Angeles,Los Angeles,"16,606","658,721,722","9,445,483"
59,2022,90060,CA,Los Angeles,Los Angeles,65,"3,203,938","80,850"
60,2022,90061,CA,Los Angeles,Los Angeles,"11,204","463,776,763","8,251,238"
61,2022,90062,CA,Los Angeles,Los Angeles,"13,505","622,624,036","14,284,596"
62,2022,90063,CA,Los Angeles,Los Angeles,"20,140","910,925,944","17,529,434"
63,2022,90064,CA,Los Angeles,Los Angeles,"14,789","4,982,746,655","290,023,480"
64,2022,90065,CA,Los Angeles,Los Angeles,"20,330","1,812,845,447","79,142,884"
65,2022,90066,CA,Los Angeles,Los Angeles,"27,336","3,993,278,000","233,969,376"
66,2022,90067,CA,Los Angeles,Los Angeles,"3,810","4,713,877,031","342,626,137"
67,2022,90068,CA,Los Angeles,Los Angeles,"11,468","1,990,980,600","123,882,636"
68,2022,90069,CA,West Hollywood,Los Angeles,"12,608","3,398,271,156","231,751,079"
69,2022,90070,CA,Los Angeles,Los Angeles,34,"1,910,412","32,798"
70,2022,90071,CA,Los Angeles,Los Angeles,223,"224,017,046","15,973,387"
71,2022,90072,CA,Los Angeles,Los Angeles,24,"1,025,352","28,145"
