Data Year,Fuel Type,ZIP,Number of Vehicles
2022,Battery Electric (BEV),99999,7035
2022,Battery Electric (BEV),96162,8
2022,Battery Electric (BEV),96161,411
2022,Battery Electric (BEV),96160,7
2022,Battery Electric (BEV),96158,6
2022,Battery Electric (BEV),96155,1
2022,Battery Electric (BEV),96151,5
2022,Battery Electric (BEV),96150,158
2022,Battery Electric (BEV),96148,8
2022,Battery Electric (BEV),96146,22
2022,Battery Electric (BEV),96145,72
2022,Battery Electric (BEV),96143,14
2022,Battery Electric (BEV),96142,9
2022,Battery Electric (BEV),96141,6
2022,Battery Electric (BEV),96140,19
2022,Battery Electric (BEV),96137,11
2022,Battery Electric (BEV),96134,2
2022,Battery Electric (BEV),96130,8
2022,Battery Electric (BEV),96129,1
2022,Battery Electric (BEV),96126,1
2022,Battery Electric (BEV),96125,3
2022,Battery Electric (BEV),96124,2
2022,Battery Electric (BEV),96122,11
2022,Battery Electric (BEV),96121,1
2022,Battery Electric (BEV),96120,8
2022,Battery Electric (BEV),96119,1
2022,Battery Electric (BEV),96118,2
2022,Battery Electric (BEV),96117,1
2022,Battery Electric (BEV),96114,4
2022,Battery Electric (BEV),96111,1
2022,Battery Electric (BEV),96107,3
2022,Battery Electric (BEV),96106,2
2022,Battery Electric (BEV),96105,1
2022,Battery Electric (BEV),96103,4
2022,Battery Electric (BEV),96099,4
2022,Battery Electric (BEV),96097,17
2022,Battery Electric (BEV),96096,3
2022,Battery Electric (BEV),96094,22
2022,Battery Electric (BEV),96093,12
2022,Battery Electric (BEV),96092,1
2022,Battery Electric (BEV),96091,1
2022,Battery Electric (BEV),96089,1
2022,Battery Electric (BEV),96088,16
2022,Battery Electric (BEV),96087,4
2022,Battery Electric (BEV),96085,1
2022,Battery Electric (BEV),96084,2
2022,Battery Electric (BEV),96080,68
2022,Battery Electric (BEV),96073,39
2022,Battery Electric (BEV),96069,7
2022,Battery Electric (BEV),96067,61
2022,Battery Electric (BEV),96064,5
2022,Battery Electric (BEV),96063,1
2022,Battery Electric (BEV),96062,6
2022,Battery Electric (BEV),96059,1
2022,Battery Electric (BEV),96057,5
2022,Battery Electric (BEV),96056,3
2022,Battery Electric (BEV),96055,13
2022,Battery Electric (BEV),96052,4
2022,Battery Electric (BEV),96051,12
2022,Battery Electric (BEV),96050,1
2022,Battery Electric (BEV),96049,2
2022,Battery Electric (BEV),96048,1
2022,Battery Electric (BEV),96047,3
2022,Battery Electric (BEV),96046,1
2022,Battery Electric (BEV),96044,4
2022,Battery Electric (BEV),96041,5
2022,Battery Electric (BEV),96039,1
2022,Battery Electric (BEV),96038,1
2022,Battery Electric (BEV),96035,9
2022,Battery Electric (BEV),96032,5
2022,Battery Electric (BEV),96029,1
2022,Battery Electric (BEV),96028,5
2022,Battery Electric (BEV),96027,3
2022,Battery Electric (BEV),96025,9
2022,Battery Electric (BEV),96024,3
2022,Battery Electric (BEV),96022,68
2022,Battery Electric (BEV),96021,34
2022,Battery Electric (BEV),96020,5
2022,Battery Electric (BEV),96019,32
2022,Battery Electric (BEV),96017,1
2022,Battery Electric (BEV),96015,2
2022,Battery Electric (BEV),96014,1
2022,Battery Electric (BEV),96013,1
2022,Battery Electric (BEV),96011,1
2022,Battery Electric (BEV),96008,5
2022,Battery Electric (BEV),96007,52
2022,Battery Electric (BEV),96003,214
2022,Battery Electric (BEV),96002,159
2022,Battery Electric (BEV),96001,243
2022,Battery Electric (BEV),95993,332
2022,Battery Electric (BEV),95992,6
2022,Battery Electric (BEV),95991,200
2022,Battery Electric (BEV),95988,21
2022,Battery Electric (BEV),95987,13
2022,Battery Electric (BEV),95983,2
2022,Battery Electric (BEV),95982,12
2022,Battery Electric (BEV),95979,1
2022,Battery Electric (BEV),95977,7
2022,Battery Electric (BEV),95975,19
2022,Battery Electric (BEV),95973,239
2022,Battery Electric (BEV),95971,15
2022,Battery Electric (BEV),95970,1
2022,Battery Electric (BEV),95969,47
2022,Battery Electric (BEV),95967,1
2022,Battery Electric (BEV),95966,63
2022,Battery Electric (BEV),95965,56
2022,Battery Electric (BEV),95963,37
2022,Battery Electric (BEV),95962,9
2022,Battery Electric (BEV),95961,222
2022,Battery Electric (BEV),95960,6
2022,Battery Electric (BEV),95959,264
2022,Battery Electric (BEV),95957,4
2022,Battery Electric (BEV),95956,1
2022,Battery Electric (BEV),95954,14
2022,Battery Electric (BEV),95953,48
2022,Battery Electric (BEV),95951,7
2022,Battery Electric (BEV),95950,1
2022,Battery Electric (BEV),95949,175
2022,Battery Electric (BEV),95948,26
2022,Battery Electric (BEV),95947,3
2022,Battery Electric (BEV),95946,109
2022,Battery Electric (BEV),95945,185
2022,Battery Electric (BEV),95943,5
2022,Battery Electric (BEV),95942,13
2022,Battery Electric (BEV),95938,39
2022,Battery Electric (BEV),95937,5
2022,Battery Electric (BEV),95936,2
2022,Battery Electric (BEV),95935,1
2022,Battery Electric (BEV),95934,1
2022,Battery Electric (BEV),95932,17
2022,Battery Electric (BEV),95928,263
2022,Battery Electric (BEV),95927,4
2022,Battery Electric (BEV),95926,205
2022,Battery Electric (BEV),95925,1
2022,Battery Electric (BEV),95922,1
2022,Battery Electric (BEV),95920,2
2022,Battery Electric (BEV),95919,3
2022,Battery Electric (BEV),95918,18
2022,Battery Electric (BEV),95917,6
2022,Battery Electric (BEV),95916,1
2022,Battery Electric (BEV),95914,3
2022,Battery Electric (BEV),95912,12
2022,Battery Electric (BEV),95903,13
2022,Battery Electric (BEV),95901,124
2022,Battery Electric (BEV),95866,2
2022,Battery Electric (BEV),95865,6
2022,Battery Electric (BEV),95864,625
2022,Battery Electric (BEV),95860,2
2022,Battery Electric (BEV),95852,3
2022,Battery Electric (BEV),95851,3
2022,Battery Electric (BEV),95843,469
2022,Battery Electric (BEV),95842,156
2022,Battery Electric (BEV),95841,120
2022,Battery Electric (BEV),95838,156
2022,Battery Electric (BEV),95837,17
2022,Battery Electric (BEV),95835,932
2022,Battery Electric (BEV),95834,836
2022,Battery Electric (BEV),95833,340
2022,Battery Electric (BEV),95832,44
2022,Battery Electric (BEV),95831,698
2022,Battery Electric (BEV),95830,15
2022,Battery Electric (BEV),95829,722
2022,Battery Electric (BEV),95828,399
2022,Battery Electric (BEV),95827,187
2022,Battery Electric (BEV),95826,281
