index,ZIP,County,ZIP Code Population,EV Count in Zip,ZEV Sales in County,County Population
1,90001,los angeles,56403.0,305.0,125196,"9,663,345"
2,90002,los angeles,52735.0,268.0,125196,"9,663,345"
3,90003,los angeles,71708.0,337.0,125196,"9,663,345"
4,90004,los angeles,58844.0,1802.0,125196,"9,663,345"
5,90005,los angeles,38747.0,1062.0,125196,"9,663,345"
6,90006,los angeles,55192.0,708.0,125196,"9,663,345"
7,90007,los angeles,39253.0,367.0,125196,"9,663,345"
8,90008,los angeles,33443.0,921.0,125196,"9,663,345"
9,90009,los angeles,,15.0,125196,"9,663,345"
10,90010,los angeles,4478.0,598.0,125196,"9,663,345"
11,90011,los angeles,102784.0,473.0,125196,"9,663,345"
12,90012,los angeles,37463.0,1624.0,125196,"9,663,345"
13,90013,los angeles,14891.0,530.0,125196,"9,663,345"
14,90014,los angeles,9540.0,364.0,125196,"9,663,345"
15,90015,los angeles,25257.0,964.0,125196,"9,663,345"
16,90016,los angeles,46102.0,1239.0,125196,"9,663,345"
17,90017,los angeles,28981.0,837.0,125196,"9,663,345"
18,90018,los angeles,48812.0,855.0,125196,"9,663,345"
19,90019,los angeles,59288.0,2008.0,125196,"9,663,345"
20,90020,los angeles,38361.0,965.0,125196,"9,663,345"
21,90021,los angeles,3152.0,235.0,125196,"9,663,345"
22,90022,los angeles,61638.0,428.0,125196,"9,663,345"
23,90023,los angeles,44608.0,310.0,125196,"9,663,345"
24,90024,los angeles,50830.0,2314.0,125196,"9,663,345"
25,90025,los angeles,45238.0,2882.0,125196,"9,663,345"
26,90026,los angeles,62902.0,2066.0,125196,"9,663,345"
27,90027,los angeles,46049.0,2217.0,125196,"9,663,345"
28,90028,los angeles,31441.0,1161.0,125196,"9,663,345"
29,90029,los angeles,33830.0,617.0,125196,"9,663,345"
30,90030,los angeles,,,125196,"9,663,345"
31,90031,los angeles,36881.0,802.0,125196,"9,663,345"
32,90032,los angeles,43724.0,978.0,125196,"9,663,345"
33,90033,los angeles,46540.0,328.0,125196,"9,663,345"
34,90034,los angeles,55120.0,2505.0,125196,"9,663,345"
35,90035,los angeles,27851.0,1680.0,125196,"9,663,345"
36,90036,los angeles,38784.0,2302.0,125196,"9,663,345"
37,90037,los angeles,67895.0,352.0,125196,"9,663,345"
38,90038,los angeles,27807.0,813.0,125196,"9,663,345"
39,90039,los angeles,28572.0,1820.0,125196,"9,663,345"
40,90040,los angeles,11683.0,234.0,125196,"9,663,345"
41,90041,los angeles,27351.0,1328.0,125196,"9,663,345"
42,90042,los angeles,58344.0,1997.0,125196,"9,663,345"
43,90043,los angeles,43548.0,1236.0,125196,"9,663,345"
44,90044,los angeles,95859.0,552.0,125196,"9,663,345"
45,90045,los angeles,42352.0,12605.0,125196,"9,663,345"
46,90046,los angeles,48905.0,3397.0,125196,"9,663,345"
47,90047,los angeles,50925.0,774.0,125196,"9,663,345"
48,90048,los angeles,20796.0,1589.0,125196,"9,663,345"
49,90049,los angeles,36735.0,4206.0,125196,"9,663,345"
50,90050,los angeles,,2.0,125196,"9,663,345"
51,90051,los angeles,,5.0,125196,"9,663,345"
52,90052,los angeles,0.0,,125196,"9,663,345"
53,90053,los angeles,,4.0,125196,"9,663,345"
54,90054,los angeles,,,125196,"9,663,345"
55,90055,los angeles,,1.0,125196,"9,663,345"
56,90056,los angeles,8908.0,587.0,125196,"9,663,345"
57,90057,los angeles,45548.0,464.0,125196,"9,663,345"
58,90058,los angeles,3409.0,181.0,125196,"9,663,345"
59,90059,los angeles,38015.0,289.0,125196,"9,663,345"
60,90060,los angeles,,1.0,125196,"9,663,345"
61,90061,los angeles,28478.0,222.0,125196,"9,663,345"
62,90062,los angeles,32110.0,362.0,125196,"9,663,345"
63,90063,los angeles,50536.0,703.0,125196,"9,663,345"
64,90064,los angeles,26494.0,2549.0,125196,"9,663,345"
65,90065,los angeles,45075.0,2016.0,125196,"9,663,345"
66,90066,los angeles,54975.0,3745.0,125196,"9,663,345"
67,90067,los angeles,3165.0,694.0,125196,"9,663,345"
68,90068,los angeles,21569.0,2068.0,125196,"9,663,345"
69,90069,los angeles,20318.0,1723.0,125196,"9,663,345"
70,90070,los angeles,,,125196,"9,663,345"
71,90071,los angeles,304.0,35.0,125196,"9,663,345"
72,90072,los angeles,,,125196,"9,663,345"
