Data Year,Fuel Type,ZIP,Number of Vehicles
2023,Battery Electric (BEV),89061,1
2023,Battery Electric (BEV),90001,167
2023,Battery Electric (BEV),90002,167
2023,Battery Electric (BEV),90003,197
2023,Battery Electric (BEV),90004,1292
2023,Battery Electric (BEV),90005,808
2023,Battery Electric (BEV),90006,458
2023,Battery Electric (BEV),90007,270
2023,Battery Electric (BEV),90008,688
2023,Battery Electric (BEV),90009,9
2023,Battery Electric (BEV),90010,456
2023,Battery Electric (BEV),90011,252
2023,Battery Electric (BEV),90012,1270
2023,Battery Electric (BEV),90013,413
2023,Battery Electric (BEV),90014,300
2023,Battery Electric (BEV),90015,759
2023,Battery Electric (BEV),90016,905
2023,Battery Electric (BEV),90017,643
2023,Battery Electric (BEV),90018,577
2023,Battery Electric (BEV),90019,1458
2023,Battery Electric (BEV),90020,695
2023,Battery Electric (BEV),90021,188
2023,Battery Electric (BEV),90022,258
2023,Battery Electric (BEV),90023,193
2023,Battery Electric (BEV),90024,1809
2023,Battery Electric (BEV),90025,2230
2023,Battery Electric (BEV),90026,1378
2023,Battery Electric (BEV),90027,1539
2023,Battery Electric (BEV),90028,857
2023,Battery Electric (BEV),90029,414
2023,Battery Electric (BEV),90031,548
2023,Battery Electric (BEV),90032,659
2023,Battery Electric (BEV),90033,213
2023,Battery Electric (BEV),90034,1812
2023,Battery Electric (BEV),90035,1198
2023,Battery Electric (BEV),90036,1695
2023,Battery Electric (BEV),90037,227
2023,Battery Electric (BEV),90038,601
2023,Battery Electric (BEV),90039,1253
2023,Battery Electric (BEV),90040,167
2023,Battery Electric (BEV),90041,888
2023,Battery Electric (BEV),90042,1341
2023,Battery Electric (BEV),90043,904
2023,Battery Electric (BEV),90044,337
2023,Battery Electric (BEV),90045,7061
2023,Battery Electric (BEV),90046,2497
2023,Battery Electric (BEV),90047,553
2023,Battery Electric (BEV),90048,1212
2023,Battery Electric (BEV),90049,3275
2023,Battery Electric (BEV),90051,3
2023,Battery Electric (BEV),90053,3
2023,Battery Electric (BEV),90055,1
2023,Battery Electric (BEV),90056,438
2023,Battery Electric (BEV),90057,313
2023,Battery Electric (BEV),90058,134
2023,Battery Electric (BEV),90059,180
2023,Battery Electric (BEV),90061,158
2023,Battery Electric (BEV),90062,230
2023,Battery Electric (BEV),90063,393
2023,Battery Electric (BEV),90064,1942
2023,Battery Electric (BEV),90065,1403
2023,Battery Electric (BEV),90066,2741
2023,Battery Electric (BEV),90067,558
2023,Battery Electric (BEV),90068,1531
2023,Battery Electric (BEV),90069,1339
2023,Battery Electric (BEV),90071,23
2023,Battery Electric (BEV),90074,1
2023,Battery Electric (BEV),90075,1
2023,Battery Electric (BEV),90077,1126
2023,Battery Electric (BEV),90078,4
2023,Battery Electric (BEV),90079,1
2023,Battery Electric (BEV),90086,2
2023,Battery Electric (BEV),90088,1
2023,Battery Electric (BEV),90089,19
2023,Battery Electric (BEV),90090,1
2023,Battery Electric (BEV),90093,4
2023,Battery Electric (BEV),90094,987
2023,Battery Electric (BEV),90095,67
2023,Battery Electric (BEV),90201,449
2023,Battery Electric (BEV),90209,23
2023,Battery Electric (BEV),90210,2407
