ZIP,USPS Default State for ZIP,County,ZIP Code Population
90001,CA,Los Angeles County,56403
90002,CA,Los Angeles County,52735
90003,CA,Los Angeles County,71708
90004,CA,Los Angeles County,58844
90005,CA,Los Angeles County,38747
90006,CA,Los Angeles County,55192
90007,CA,Los Angeles County,39253
90008,CA,Los Angeles County,33443
90009,CA,Los Angeles County,
90010,CA,Los Angeles County,4478
90011,CA,Los Angeles County,102784
90012,CA,Los Angeles County,37463
90013,CA,Los Angeles County,14891
90014,CA,Los Angeles County,9540
90015,CA,Los Angeles County,25257
90016,CA,Los Angeles County,46102
90017,CA,Los Angeles County,28981
90018,CA,Los Angeles County,48812
90019,CA,Los Angeles County,59288
90020,CA,Los Angeles County,38361
90021,CA,Los Angeles County,3152
90022,CA,Los Angeles County,61638
90023,CA,Los Angeles County,44608
90024,CA,Los Angeles County,50830
90025,CA,Los Angeles County,45238
90026,CA,Los Angeles County,62902
90027,CA,Los Angeles County,46049
90028,CA,Los Angeles County,31441
90029,CA,Los Angeles County,33830
90030,CA,Los Angeles County,
90031,CA,Los Angeles County,36881
90032,CA,Los Angeles County,43724
90033,CA,Los Angeles County,46540
90034,CA,Los Angeles County,55120
90035,CA,Los Angeles County,27851
90036,CA,Los Angeles County,38784
90037,CA,Los Angeles County,67895
90038,CA,Los Angeles County,27807
90039,CA,Los Angeles County,28572
90040,CA,Los Angeles County,11683
90041,CA,Los Angeles County,27351
90042,CA,Los Angeles County,58344
90043,CA,Los Angeles County,43548
90044,CA,Los Angeles County,95859
90045,CA,Los Angeles County,42352
90046,CA,Los Angeles County,48905
90047,CA,Los Angeles County,50925
90048,CA,Los Angeles County,20796
90049,CA,Los Angeles County,36735
90050,CA,Los Angeles County,
90051,CA,Los Angeles County,
90052,CA,Los Angeles County,0
90053,CA,Los Angeles County,
90054,CA,Los Angeles County,
90055,CA,Los Angeles County,
90056,CA,Los Angeles County,8908
90057,CA,Los Angeles County,45548
90058,CA,Los Angeles County,3409
90059,CA,Los Angeles County,38015
90060,CA,Los Angeles County,
90061,CA,Los Angeles County,28478
90062,CA,Los Angeles County,32110
90063,CA,Los Angeles County,50536
90064,CA,Los Angeles County,26494
90065,CA,Los Angeles County,45075
90066,CA,Los Angeles County,54975
90067,CA,Los Angeles County,3165
90068,CA,Los Angeles County,21569
90069,CA,Los Angeles County,20318
90070,CA,Los Angeles County,
90071,CA,Los Angeles County,304
90072,CA,Los Angeles County,
90073,CA,Los Angeles County,1053
90074,CA,Los Angeles County,
90075,CA,Los Angeles County,
90076,CA,Los Angeles County,
90077,CA,Los Angeles County,8158
90078,CA,Los Angeles County,
90079,CA,Los Angeles County,0
90081,CA,Los Angeles County,
90082,CA,Los Angeles County,
90083,CA,Los Angeles County,
90084,CA,Los Angeles County,
90086,CA,Los Angeles County,
90087,CA,Los Angeles County,
90089,CA,Los Angeles County,4777
90091,CA,Los Angeles County,
90093,CA,Los Angeles County,
90094,CA,Los Angeles County,12127
90095,CA,Los Angeles County,0
90099,CA,Los Angeles County,
90140,CA,Los Angeles County,
90201,CA,Los Angeles County,93783
90202,CA,Los Angeles County,
90205,CA,Los Angeles County,
90209,CA,Los Angeles County,
90210,CA,Los Angeles County,19652
90211,CA,Los Angeles County,8871
90212,CA,Los Angeles County,10834
90213,CA,Los Angeles County,
90220,CA,Los Angeles County,49156
90221,CA,Los Angeles County,50782
90222,CA,Los Angeles County,32173
90223,CA,Los Angeles County,
90224,CA,Los Angeles County,
90230,CA,Los Angeles County,31570
90231,CA,Los Angeles County,
90232,CA,Los Angeles County,16804
90239,CA,Los Angeles County,
90240,CA,Los Angeles County,25326
90241,CA,Los Angeles County,45484
90242,CA,Los Angeles County,40983
90245,CA,Los Angeles County,16863
90247,CA,Los Angeles County,47303
90248,CA,Los Angeles County,11144
90249,CA,Los Angeles County,25967
90250,CA,Los Angeles County,94991
90251,CA,Los Angeles County,
90254,CA,Los Angeles County,19248
90255,CA,Los Angeles County,70363
90260,CA,Los Angeles County,32379
90262,CA,Los Angeles County,64918
90263,CA,Los Angeles County,1895
90264,CA,Los Angeles County,
90265,CA,Los Angeles County,15914
90265,CA,Ventura County,15914
90266,CA,Los Angeles County,34584
90267,CA,Los Angeles County,
90270,CA,Los Angeles County,24522
90272,CA,Los Angeles County,21438
90274,CA,Los Angeles County,24988
90275,CA,Los Angeles County,41367
90277,CA,Los Angeles County,35391
90278,CA,Los Angeles County,42536
90280,CA,Los Angeles County,91719
90290,CA,Los Angeles County,5948
90291,CA,Los Angeles County,25738
90292,CA,Los Angeles County,23684
90293,CA,Los Angeles County,12784
90294,CA,Los Angeles County,
90295,CA,Los Angeles County,
90296,CA,Los Angeles County,
90301,CA,Los Angeles County,36428
90302,CA,Los Angeles County,28871
90303,CA,Los Angeles County,23169
90304,CA,Los Angeles County,26215
90305,CA,Los Angeles County,14612
90306,CA,Los Angeles County,
90307,CA,Los Angeles County,
90308,CA,Los Angeles County,
90309,CA,Los Angeles County,
90310,CA,Los Angeles County,
90401,CA,Los Angeles County,7925
90402,CA,Los Angeles County,11178
90403,CA,Los Angeles County,25087
90404,CA,Los Angeles County,22881
90405,CA,Los Angeles County,26809
90406,CA,Los Angeles County,
